
2,B2,C2,2,E2,F2
3,B3,C3,3,E3,F3
4,B4,C4,4,E4,F4
5,B5,C5,5,E5,F5
6,B6,C6,6,E6,F6
7,B7,C7,7,E7,F7
8,B8,C8,8,E8,F8
9,B9,C9,9,E9,F9
10,B10,C10,10,E10,F10
10,1,1,100,1,1
40,2,2,200,2,2
70,3,3,300,3,3
100,4,4,400,4,4
130,5,5,500,5,5
160,6,6,600,6,6
190,7,7,700,7,7
220,8,8,800,8,8
250,9,9,900,9,9
280,10,10,1000,10,10
310,11,11,1100,11,11
340,12,12,1200,12,12
370,13,13,1300,13,13
400,14,14,1400,14,14
400,14,14,1400,14,14
430,15,15,1500,15,15
460,16,16,1600,16,16
490,17,17,1700,17,17
520,18,18,1800,18,18
550,19,19,1900,19,19
580,20,20,2000,20,20
580,20,20,2000,20,20
