"idx","content","star"
"1","看了开头，实在看不下去了，忍着又往下看了几篇，实在是着不住这种做作的腔调和莫名其妙的逻辑，又是一个典型的不愁吃喝的浪荡公子，写些看似洒脱的小文章，哄哄涉世未深的小孩子，心疼自己在亚马逊买电子书花的两块钱，太不值了。","很差"
"2","对这一类书最大的感受就是，即使读的当时被书中的故事感动的一塌糊涂，读完之后仍旧无感。甚至当有人问起，你连一丁儿故事情节都回忆不起来。这也就是一些畅销书却成不了经典之作的原因吧。不能将感动或者意义延续下去。","还行"
"3","豆瓣怎么了，这不就是一个抠脚大汉，宅家里鳖出一本书，意淫自己爱生活，爱旅游，有钱不赚，断手不治，身边一群傻妞张开大腿，他却看都不看的吴彦祖啊","较差"
"4","三千鸡汤取这一瓢饮。轻松翻完的大众读物，12段别人的传奇人生，有越战老兵、流浪歌手、还有各色文艺姑娘。或许作者真如他笔下自诩的现代游侠，想要抒发以梦为马的情怀，但行文却让人如此的不舒服，八尺的汉子，三毛的口吻，四处抖落优越感。此书治好了很多小读者的游侠江湖瘾和文艺公主梦。","较差"
"5","看名字就无感，评分这么高还是买回来了，看到第二篇实在看不下去，就这么着吧。","很差"
"6","觉得作者太装，又忍不住一再读下去…这大概就是《知音》的魅力所在吧",""
"7","对我来说唯一的亮点只在赵雷，可惜着墨不多。书里批判华而不实的文艺，贬低想走就走的旅行，但是整本书给人传达出来的中心思想恰恰就是这两点，虚伪得实在让人喜欢不起来。","较差"
"8","心疼我在亚马逊上花的两块钱。这本书竟然是一个建筑系高材生，和我聊博尔赫斯，李斯特的姑娘推荐的，hope that she was just kidding","很差"
"9","看到某些鸡汤，还是想伸手舀一碗。壮士，干了这碗鸡汤。","推荐"
"10","这是我有生以来读过最矫情恶心的书：1.文笔极差，不如小学生作文。基本没有遣词造句，极端口语化，一句话几个“各种”，这年头连形容词都不会用也能当作家了。2.叙事空洞无物，条理不清，逻辑混乱。3.自恋癌晚期。每个写别人的故事都一定要讲几段自己，讲自己是多么无奈地面对姑娘们的爱慕调情、殷勤示好，热爱描写姑娘与他的暧昧互动，借机渲染自己的风流潇洒、散漫不羁以及财力和魅力。花钱、花时间在这本书上并不是毫无意义：我看到了一本书的下限。","很差"
"11","该喝醉的时候一定不能少喝，该唱歌的时候一定不要干坐。也许无趣的不是这个世界，而我们没有坚持那些有趣的活法罢了。","推荐"
"12","最近在做用户评价分析的室友有一天问我大冰是否在文青界很红，我问她为何这么问，她说在亚马逊和当当收集书籍评论，榜首是这本书。大冰看来真的火了，我有不少原本不涉及这个圈子的朋友，也情真意切买来他的书读。不过对于我来说，实在是审美疲劳。故事我听过不少，倒不都这么曲折离奇，不过此路故事的套路我是早已了然。因此本来想好给这本书打二星。最后还是三星，一来故事本身讲得还不错，二来这样的故事到底是给价值观单一的青年们打开了一扇窗，虽也不知青年们会如何看待这扇窗，但有了窗总会漏进点光，这总是好的。 ","还行"
"13","2015.4.2-2015.4.5 kindle  真不明白这本书为啥这么火。神话故事一样的鸡汤文，糊弄小孩子呢","较差"
"14","失望，大冰你就作吧，尤其是微博","较差"
"15","妈蛋，还我两块！","很差"
"16","这本书自带各种标签：拉萨、丽江、酒吧、背包客、流浪。。。受到追捧一点都不奇怪。即便故事情节是真实的，作者叙述的口吻却充满矫情，让人难受。","还行"
"17","烧烤摊上的大兵   陪你走天涯的豆儿姑娘   昨天刚刚披上婚纱的椰子姑娘   我知道   世界上的某个角落   总会有人过得我想要的生活","力荐"
"18","文学性什么的虽然算不上太好，可能跟大冰口中宣称的真实也有些出入，但不失为一堆蛮好的故事，路上，车上，睡不着的时候，消遣一下，看一眼别人或真或假的生活，然后给自己校对一下坐标，继续目无旁人的像条狗一样尽情的生活","推荐"
"19","一个认识的女生送的，这种书也只能哄哄小女生情怀泛滥的人","很差"
"20","都市游侠大冰，遇到的都是神奇的人，去的都是你一辈子到不了的地方，经历的都是你不可能经历的事儿，然后写的故事都是类似天方夜谭一样的神话传奇。","力荐"
"21","讲故事讲的比张嘉佳还烂","较差"
"22","如果我给别人讲述我曾经经历过的事情，我应该不会把曾经说过的每一句话都记得那么清楚，尤其是彼此之间的扯淡对话，我肯定会直接说个结果完事；我曾经怀疑过书中故事的真假，但想到毕竟流浪十多年，遇到的人和事又何止书中那些，所以我还是选择相信这些事情都是真的，只是大冰将其加工的有些变了味，看似又那么的原汁原味；该去写言情小说，随便选一篇就是一个好题材。","还行"
"23","从毫无设计感的封面和略带伤感非主流的书名看来，它的目标受众应为20-50岁受教育程度较低的男性，作者很知道他有着能令受众艳羡的那一类经历。而对于非目标受众群体来说，这本书文笔破落，作者很受知音体和网络小说影响，极像文艺界暴发户，强行往身上贴上诗意的标签，真是扑面而来的装逼如风。","很差"
"24","在回家的路上看的，戴上耳机，听着音乐一个人我在汽车最后一排，感动得一把鼻涕一把泪的，最他妈受不了的就是那些过着我想过的生活的人写的故事，宅了一生的我其实内心里住着一颗四处漂泊的心。","推荐"
"25","读不下去  别的不多说了 我现在日行一善 ","较差"
"26","随便一趟旅途，随便偶遇的某个旅人的故事都可能比这所谓纸上得来的“真实故事”来的精彩。。各种作。。。这年头怎么了。。。前有张嘉佳，后有大冰，评分还这么高，读者都吃了脑残片吗。。","较差"
"27","我看kindle商店里便宜且畅销就买了，估计大家都是因为这个原因被骗了的吧","很差"
"28","典型的我有一朋友…我一铁瓷…以前一喜欢我的姑娘…这叫吹牛逼体","很差"
"29","在第一篇已被該男的矯揉造作自吹自擂惡心到。在麗江古城還有很多人慕名去大冰的小屋，在茶馬古道客棧的墻上看到該書的廣告。翻來看了真是惡心。男人就不要寫什麼治愈系的小清新文來糊弄無知少女了。","很差"
"30","kindle上2元钱买的。差不多就值这个价。读者体。","较差"
"31","真是恶心的书。一星二星的都是明白人。","很差"
"32","里面故事都是用啤酒饮料换的吧？","较差"
"33","对不起，你很火，但是我还是不爱。","很差"
"34","请大家以后不要再给我推荐张嘉佳体文章，谢谢！","很差"
"35","朋友送的新年礼物，虽然知道这本书很久了，没敢买怕受刺激，可原来朋友送的更让人受刺激！难道我在她心目中如此品味拙劣吗，为什么要送我这本书，是讽刺我吗？作者刻意的扮演性情显得更矫情了，比张嘉佳更作，这个大冰是我小时候爱看的那档《阳光快车道》的主持人吗？毁童年系列啊！自己也是作死，晒太阳懒得上楼换书，居然看了大半。","很差"
"36","不知道怎么会买的这本书，千里迢迢带到美国来，简直就是bs，阅读感奇差，还特么不如看自己十年前的blog。青少年们不要在这种无聊读物上浪费自己的青春了啊！！！💢不是所有人都可以写书的啊，望此类“作者”早自知早停止祸害。","很差"
"37","我还是比较喜欢大冰的 身上有股洒脱的江湖气 虽然字里行间看得出其读的书不多 但经历的事看过的人多 所以故事比较有意思 也弥补了他本缺少的文气","还行"
"38","第一次给两星的书，一星给作者写了赵雷，一星给作者辛苦又矫情的讲故事。","较差"
"39","鉴于虚高的评分，只给一星","很差"
"40","必须五星，“看哭了”，这是我能给一本书的最高评价了。","推荐"
"41","我看完书又翻了一遍书评，然后可以断定，豆瓣的评分绝壁是刷出来的，立马减了一颗星。其实就是一个胡子拉碴的男版安妮宝贝，宝贝翻来覆去说自己，他就颠三倒四写别人。生活在此处或者彼时，浪迹天涯再修成正果，简直就是天涯BBS的文风，我觉得还不如宽带山有料。二X男女们曾经沧海纵情流浪，拿得起吉他当得上白领，终于大家汇聚到心灵的驿站欢聚歌唱，不是丽江就是拉萨。我真心觉得神烦。刚好看到黄咚咚评价复旦小三门的：戏剧型人格的男人不能嫁。看书亦然。","较差"
"42","看着配图就已经醉了，这些人简直丢文青的脸","很差"
"43","没读过、读不了经典的人再跟他解释也没用，因为他的欣赏水平只能到这一步，再高点的他看不懂，于是不想看，久而久之就开始恨那些经典，恨它们的存在；恨够了，便开始嘲讽，形成一种可悲的自大，与趣味相投者划出一片领地，干脆自立为王，用新建的法律对经典重新下一番实际毫无价值的定义。作者同样如此，每句话都透露着精神层面的匮乏，将个人情绪上升到哲学真理的地位，然而不过是故作深沉。他不知道的是，孤独才是思考的基础、净化的良药，在习以为常的烂醉与狂欢中能够写出不朽之作的人，这世上还从来没有过。你有什么资格定价到39.6？","很差"
"44","什么鬼","很差"
"45","好矫情好矫情受不了了，装逼装过头了","较差"
"46","故事写的不错，文笔很好","推荐"
"47","空格键，重复，大冰再写一本，我可能会给三星。（第三本出来后，没想到我已经不会去读了……）","推荐"
"48","大冰新书，期待一下下","力荐"
"49","不摸，快滚","很差"
"50","现在的男的都爱写心灵鸡汤，真是奇怪。","较差"
"51","矫情 ","较差"
"52","略装。","较差"
"53","真是不好看。。","很差"
"54","大冰。《他们最幸福》2.0版。大冰的书不高深，不装逼，偶尔卖萌，偶尔戳一下你心窝，偶尔又挠你一下咯吱窝，12个故事读起来十分顺畅。延续1.0版一身江湖豪侠的称呼（恩公少侠阿弥陀佛么么哒好么好哒），恰似你我道左相逢，欢如平生，各有一碗酒，聊以慰风尘。12个故事，并不是要告诉你什么大道理，更多的是提供另一个出口，让更多的人知道，困住你的也许是自己，也让更多的人知道，你，并不是一个人，那条路上已有早行人。请相信，这个世界上真的有人在过着你想要的生活，愿你我带着最微博的行李和最丰盛的自己在时间流浪。大冰如此说道。也许没有那么浪漫，但是所有因时光而发胖的家禽都有一颗翱翔万里的心。而无论怎样，对那个藏在心里那个，在最角落最角落里那个自己，说一声，乖，摸摸头吧。","推荐"
"55","偶尔也看鸡汤，他很会讲故事，可惜我看过就忘。哪怕当时被感动得稀里哗啦。。“也许无趣的不是这个世界，而是你我还没找到有趣的活法。” ",""
"56","也算为了解年轻人的偏好而阅读的。当然不是我的菜了，因为有些矫情，有些用力过猛，而且这些故事都无法给人比较大的触动或启发。","还行"
"57","比第一本腻太多 而且总有自吹自擂的样子 弃","还行"
"58","这12个故事让我想起结交的一些朋友，他们的故事用文字码起来也可以这么风生水起~所谓传奇，不过是比别人更懂得坚持自己~乖，摸摸头，莫负这倏忽人生~ ","力荐"
"59","某些细节我也知道，发现写的略夸张~ 有的篇有点像倒垃圾，让我想起来非诚勿扰里葛优找教堂牧师忏悔那段儿，一直说一直说...都把人说烦了.... 本来想看点轻松的书，发现轻松的 有趣的书不好找啊~ 每每以为畅销书中总有一本还不错的吧，可是这个就一般，也许作者稍知名一点比较好？之前孟非出的那本还行，好歹看着想一口气读完而且中间还有爆笑数次，也有感慨。","较差"
"60","真的，特别特别好看，十二个故事，每一个都一脸泪","力荐"
"61","知道这都是故事也知道是鸡汤，但人的一生哪有那么多意义，叩问这件事交给哲学家吧，我只想快乐健康的生活，我愿意相信这些美与善，愤世嫉俗交给年轻人吧，我老了，只想看些温暖的故事。","推荐"
"62","推荐，好看。我喜欢这本书超过喜欢张嘉佳的书","推荐"
"63","别人的故事总是动听动情，故事之外又有多少东西能留下，看得太多，经历太少，尘世匆匆，当浮一碗鸡汤前行。","还行"
"64","读不下去的书，就不要再勉强自己继续读了……","较差"
"65","鸡汤偶尔喝喝挺好，喝多了腻味，我还是爱白菜和萝卜。","较差"
"66","萝卜青菜，各有所爱，对这书的评价也各不相同，当故事姑且看看还是OK的","还行"
"67","看第一篇的时候，“咦，好像有点意思哦？”看到第六篇的时候，“嗯，好扯好装好矫情。”","较差"
"68","会讲故事，有点矫情，但偶尔喝点心灵鸡汤也不错。","还行"
"69","怎么说呢，手法好老派…偶尔看到一两篇也许还行，如果是一整本书，就有点膈应。","较差"
"70","有些故事本身还是不错的，但写法实在太浮夸太煽情。。。","较差"
"71","不懂这本书怎么会在推荐里面的  还不如张嘉佳呢  所谓营销推广的睡前读物真的是又无聊又矫情，娇柔做作到想抽她们耳光。","很差"
"72","转自友邻的评论“随便一趟旅途，随便偶遇的某个旅人的故事都可能比这所谓纸上得来的“真实故事”来的精彩。。各种作。。。这年头怎么了。。。前有张嘉佳，后有大冰，评分还这么高，读者都吃了脑残片吗”","较差"
"73","作者想表达不俗与潇洒，而我看到的是廉价与拧巴。","较差"
"74","畅销书果然没法看。因为也在云南待过一段时间，这样的故事听得多了，也不算啥，不过是一个在丽江和拉萨混久了周围的故事罢了。只是常人不易接触到这种人，所以听不到这样的故事。他描述的有的场景，我都能想象出来是怎样。所以实在是没啥实质内容。那些故事，soso。文笔更不敢说好，还不如张嘉佳呢。没意思没意思","较差"
"75","朋友喜欢，是礼物。","推荐"
